Watchtower ID,Postcode,Population Served,Watchtower Point of Contact Name,x,y
WT3754BUNNX,3754,6292,Evelyn Moore,145.1818713827351,-37.569227768847064
WT3754XKPJP,3754,6292,Leslie Bankston,145.06810561924175,-37.57939619269055
WT3754DQUSN,3754,6292,Ella Rohrbacher,145.12640802729558,-37.61134953804294
WT3754YEIRW,3754,6292,Michael Etienne,145.15550588910898,-37.565289543896235
WT3754WSOKP,3754,6292,James Lopez,145.11378037030943,-37.60927638542337
WT3156TLXBQ,3156,9366,Rita Singh,145.24765774213373,-37.91617846922139
WT3156OVCXT,3156,9366,Amy Fisk,145.32200244441637,-37.90336764103624
WT3156RMYYL,3156,9366,Mark Fernandez,145.2752824080853,-37.94563359375401
WT3156ALZRL,3156,9366,Michelle Belk,145.2691830096965,-37.946946186713696
WT3337ZQWGM,3337,36454,Casey Dalton,144.57009093872702,-37.64370381639777
WT3429TMHZA,3429,6049,Anna Whitley,144.70767809089992,-37.59240449257921
WT3429AKNKO,3429,6049,Wilbur Jones,144.82859912168232,-37.484572146701964
WT3429QUOWL,3429,6049,George White,144.70116224426192,-37.58845771833162
WT3429OIZPS,3429,6049,Michele Mitchell,144.73405343608528,-37.535127404228675
WT3429FPUNU,3429,6049,Jeffrey Cuevas,144.78894841217732,-37.53575805856136
WT3429ATTSU,3429,6049,Tony Rivera,144.8264180662807,-37.53104587054532
WT3195IOEZA,3195,35869,Hazel Seal,145.0986312566308,-38.02519988348862
WT3046TSZCB,3046,8515,Bryan Lewis,144.95822883047236,-37.72143208152169
WT3046SSWEX,3046,8515,Claudia Johnson,144.93901814946574,-37.71113556434513
WT3046QLKKF,3046,8515,Brett Hughes,144.95775841721363,-37.69521413198007
WT3046ADKBS,3046,8515,Morris Pring,144.94317380188164,-37.71659755462475
WT3058GAJIA,3058,11259,Lillian Williams,144.95509539103062,-37.72267717416843
WT3058QBBEK,3058,11259,Lisa Silas,144.94771633746444,-37.72431868999582
WT3058PMYON,3058,11259,John Orlikowski,144.96606832748174,-37.72489184577246
WT3178DBGVI,3178,5612,Mary Woody,145.24027653682384,-37.93036802368387
WT3178ZDEXK,3178,5612,Jeffrey Johnson,145.24988561798148,-37.92452579106426
WT3178MNYBC,3178,5612,Timothy Padilla,145.27689800066636,-37.93760826019328
WT3178KYQIS,3178,5612,George Langley,145.22989301524538,-37.90629276174462
WT3178XTNBB,3178,5612,Olga Hale,145.2469458149325,-37.93319171214341
WT3178BQAJG,3178,5612,Malka Smith,145.26959423333145,-37.918875236595035
WT3149NUQMB,3149,11203,Mary Finley,145.11936237866772,-37.85849697750271
WT3149SEGNE,3149,11203,Cherry Winstead,145.11714700908936,-37.879722955287434
WT3149HQJPC,3149,11203,Nancy Newton,145.12340500068873,-37.88715970761158
WT3690NYJLB,3690,5586,Adam Peacock,146.82345449162182,-36.09577537757103
WT3690PQEQB,3690,5586,Richard Lewis,146.8008583711887,-36.06452725826131
WT3690FWDEV,3690,5586,Robin Hartman,146.8345476029173,-36.16246966437017
WT3690HZOLB,3690,5586,Willie Ibarra,146.83811326729935,-36.11657609054598
WT3690VPZWP,3690,5586,Rick Spencer,146.81201011941323,-36.12471235728671
WT3690XHHWT,3690,5586,Susan Goggin,146.88088411123238,-36.10317012808323
WT3152USNWQ,3152,6618,Amber Hedin,145.22798311126752,-37.85324308519963
WT3152NPPZC,3152,6618,Mildred Farry,145.19975611484864,-37.85062021145897
WT3152AZNOY,3152,6618,Chong Chavez,145.21497655123054,-37.853348755217
WT3152TQIAV,3152,6618,Harold Baron,145.1947729959802,-37.877961397530655
WT3152FHNAO,3152,6618,Craig Sloan,145.25361925996987,-37.841104574320354
WT3072RYLDO,3072,32851,Alexandria Porter,144.99431436418755,-37.738832144703785
WT3134DTGBI,3134,6556,Allen Sheppard,145.2209379447918,-37.76787170771994
WT3134JYPDI,3134,6556,Virgil Thomas,145.23608291476037,-37.81778079602793
WT3134VAQRO,3134,6556,Chase Scott,145.21359856304974,-37.82689973086141
WT3134NJHRS,3134,6556,Odessa Eplin,145.23314454629315,-37.79085183503013
WT3134ZAWJS,3134,6556,Elijah Becker,145.22317215067378,-37.8064861673859
WT3500QYTWN,3500,8184,Gerald Bolyard,142.16477645284297,-34.24934780387183
WT3500GAEKD,3500,8184,Homer Monreal,142.17447339135245,-34.20796887203919
WT3500WTTCL,3500,8184,Lori Greene,142.07369486414845,-34.1840939123636
WT3500TTBPR,3500,8184,Eileen Mccollough,142.12024469219398,-34.26590558579265
WT3076LVYFZ,3076,32395,Larry Menke,144.96542377017286,-37.64660543487833
WT3130PLSQY,3130,8043,Jose Hayes,145.13764760079675,-37.828083908584475
WT3130XMUNW,3130,8043,Cathy Powell,145.13454854622512,-37.814071594790974
WT3130RXPQD,3130,8043,Lonnie Morgan,145.14993924759943,-37.803878744622146
WT3130MLSKB,3130,8043,Jeanine Roberts,145.15758764500598,-37.83700562668973
WT3280BGQFC,3280,7892,Christina Myers,142.5124079508843,-38.34652485601869
WT3280ZNNGF,3280,7892,Dorine Taylor,142.54128128335316,-38.324696399460194
WT3280ICHQC,3280,7892,Daniel Holt,142.47256138869804,-38.37493706098152
WT3280GVPRD,3280,7892,Rebecca Robinson,142.47231992282983,-38.374726991411244
WT3083VQQFF,3083,31526,Michael Kelsheimer,145.02432389049392,-37.71154012686286
WT3630PRZEM,3630,10424,Marguerite Gibson,145.64651785281362,-36.52494634109052
WT3630FANLS,3630,10424,Christopher Pate,145.63490206002706,-36.40980123195501
WT3630SIKVF,3630,10424,Cecilia Pipes,145.67020940336758,-36.38181728988258
WT3551OSDGB,3551,5913,Dario Miller,143.96122388612906,-36.661100832015194
WT3551WUHGQ,3551,5913,Julia Harris,144.59869731863023,-36.71067973693701
WT3551HZNZJ,3551,5913,Philip Whiteside,144.47967781227192,-36.72005122642794
WT3551EWIYX,3551,5913,Jonathan Poindexter,143.7293498074458,-36.76605272468181
WT3551WUGIW,3551,5913,Hans Miranda,144.53333375653355,-36.56455268072542
WT3032GFFPO,3032,7362,Richard Walker,144.8861180004496,-37.78412012672793
WT3032OQZEL,3032,7362,Nancy Ward,144.91934959363664,-37.76385385158951
WT3032PNVIB,3032,7362,Allen Paulsen,144.8888607257873,-37.787185777191084
WT3032PWVMB,3032,7362,William Mackiewicz,144.87559681642185,-37.79083145310446
WT3028EVTUZ,3028,9733,Andrew Johnson,144.76292579701328,-37.89924217348946
WT3028RFCNS,3028,9733,Billie Sterner,144.8044209591793,-37.84913098904796
WT3028CNGER,3028,9733,Clara Lee,144.76379179481324,-37.867551798701946
WT3844EDHDX,3844,28980,Tammy Mayweather,146.43714530130234,-38.3229284773084
WT3109XTNYN,3109,14180,Raymond Bates,145.15909952410618,-37.80416922449334
WT3109HXEBH,3109,14180,Wanda Johnson,145.1797356497215,-37.78398821626665
WT3095OIJVG,3095,27771,Jessica Kubis,145.1727846073084,-37.69925086082626
WT3038XJJWS,3038,9087,Darlene Anderson,144.79969082513048,-37.72359514749498
WT3038BSCPT,3038,9087,Betty Claar,144.81011749261393,-37.71275294089123
WT3038DWSIG,3038,9087,William Bona,144.77601184740396,-37.71809767361204
WT3044ONLDH,3044,9038,Floyd Coffman,144.93310701680394,-37.735559167663965
WT3044KLBHH,3044,9038,Rosemary Anthony,144.94253148988213,-37.74613640034775
WT3044ADHAA,3044,9038,Harold Farnell,144.9442552666063,-37.73555900014787
WT3040KJDIV,3040,6484,Barbara Venegas,144.91321985340645,-37.75720619865514
WT3040TFPXX,3040,6484,Chris Spencer,144.89110381405945,-37.76065107159642
WT3040IFXWW,3040,6484,Lynn Ibara,144.9268397283389,-37.74233613901868
WT3040BUQSL,3040,6484,Wyatt Shaffer,144.9305577481481,-37.75505075155941
WT3173PDSBH,3173,5157,Grace Owens,145.1944554691889,-38.021476076736825
WT3173LSIEZ,3173,5157,Peggy Barb,145.14547021819877,-37.992158849544744
WT3173VYMOK,3173,5157,Theresa Taylor,145.1894158199428,-38.00003695621938
WT3173GFZOQ,3173,5157,Donald Lozano,145.19499865506185,-37.988541644587656
WT3173JKIEY,3173,5157,Teddy Mccauley,145.18948448769126,-37.992844271467284
WT3084JROEH,3084,12758,Sarah Lerma,145.07262197475765,-37.750857556422204
WT3084GWBWX,3084,12758,Sean Magruder,145.08417155444224,-37.734350005293706
WT3196XSNIF,3196,8442,Tamika Hardy,145.11969767221726,-38.05403074423008
WT3196IBOKA,3196,8442,Warren Morales,145.14133411912982,-38.030989105994266
WT3196YBQPJ,3196,8442,Louise Hassan,145.11328140987263,-38.0694853367573
WT3146HRIZE,3146,25255,Manuel Ingham,145.05369626641567,-37.85103460177614
WT3141NAWKR,3141,4191,Byron Hutchins,144.98666929059277,-37.84030215496492
WT3141VUIEX,3141,4191,Mario Degeorge,144.99084667596154,-37.83266855015864
WT3141XWIRO,3141,4191,Gladys Wicks,144.9903037073295,-37.829036050601765
WT3141DNRAR,3141,4191,Christopher Gladden,145.00656224560973,-37.83749211253639
WT3141WNXNO,3141,4191,Virgil Johnson,144.99930264374774,-37.829664835211155
WT3141OOGAL,3141,4191,Francine Cardero,144.98916146393907,-37.83634340602355
WT3101MKQBQ,3101,24605,Jeffrey Boger,145.016165903305,-37.789514982505544
WT3070NTZSI,3070,8187,Hattie Hilton,144.99056659089558,-37.782210442188045
WT3070PKQKW,3070,8187,Joseph Lankford,145.00987281086302,-37.7854423609157
WT3070UIAUA,3070,8187,Ruth Whatley,144.99808273178186,-37.77688407018196
WT3056DZVPH,3056,12236,Leonard Houser,144.97434877439903,-37.76285697143965
WT3056SINUS,3056,12236,Angelina Doten,144.97172683083915,-37.76523841709616
WT3802EJGIH,3802,12149,Maria Murillo,145.2654996546424,-37.97535452787995
WT3802JFIGQ,3802,12149,Judy Susanin,145.2646955403689,-37.96887524277758
WT3752TYZVC,3752,8020,William Ortiz,145.0990082854568,-37.6354444723332
WT3752MDIOG,3752,8020,Debbie Davis,145.0801947102152,-37.656853118884825
WT3752DTWRY,3752,8020,Shirley Vernon,145.11190147000818,-37.63334790990493
WT3214SDJVB,3214,23964,Linda Bradley,144.3587251337974,-38.05556887988389
WT3024REMLK,3024,3974,Stephen Mcdonald,144.6536083470412,-37.79961713947505
WT3024ONESQ,3024,3974,Cathy Funke,144.65670260686147,-37.823722796741066
WT3024OCPGU,3024,3974,Ricky Lessman,144.57353810144866,-37.92203392010761
WT3024SWHMW,3024,3974,Cathy Ellison,144.6439391487586,-37.86605458157099
WT3024AHCQK,3024,3974,Juan Greer,144.5955079869732,-37.87742233911276
WT3024LLIXC,3024,3974,Robert Callen,144.67160191634878,-37.843914628376886
WT3166YKFIY,3166,11878,Jane Orsini,145.09372343453362,-37.904756037479814
WT3166LAGWZ,3166,11878,Elayne Sledge,145.10663609744375,-37.89032675058554
WT3122QTFAA,3122,11755,Gertrude Mak,145.02069427862008,-37.83567746306098
WT3122GVRSM,3122,11755,William Bell,145.0366394627393,-37.810997917513916
WT3338VUNIK,3338,23412,Christine Smith,144.61166783914862,-37.68847556394404
WT3182RKGMN,3182,5847,Dennis Vargas,144.98595893173,-37.85381160327312
WT3182VNNPW,3182,5847,Julia Marshall,144.9720187701412,-37.851498667714225
WT3182XUYBI,3182,5847,Carol Jepson,144.97584577516537,-37.865621833881825
WT3182OEGBG,3182,5847,Russell Jutras,144.9908645797452,-37.85713703728914
WT3145ZTUAZ,3145,23295,Mary Carter,145.07990126552414,-37.88660909527147
WT3186JHMXL,3186,7751,Bertha Amos,144.99852209269145,-37.9108921514994
WT3186TTDAZ,3186,7751,Delores Bryant,144.9981488714694,-37.892709124542016
WT3186NJIYK,3186,7751,Joseph Aguilar,144.991208682922,-37.913922252633924
WT3172MPWVX,3172,23089,Kenneth Martin,145.1163803602562,-37.98036690269593
WT3075TFZBG,3075,11297,Angel Sledge,145.00050732794358,-37.66530476286956
WT3075PQUNW,3075,11297,Rick Walls,144.97271489310629,-37.67002288868526
WT3910TOMTM,3910,11294,Mary Conyers,145.17078673916086,-38.157889426030216
WT3910GHRJL,3910,11294,Mike Bonneau,145.21511761712927,-38.129955676943375
WT3131ZPDCI,3131,5626,Michael King,145.16871648542545,-37.803152773463914
WT3131NBPZS,3131,5626,Janet Keller,145.1825300302115,-37.81979132355934
WT3131XGUSR,3131,5626,Annette Russell,145.1587437004463,-37.80127846325513
WT3131QOEGH,3131,5626,Billie Rodriguez,145.17986334885012,-37.83417363952394
WT3192WYOED,3192,22291,Earl Maxwell,145.04432071046824,-37.96332078916971
WT3155DIOQN,3155,22195,Edward White,145.30453693175082,-37.85124767277449
WT3133ZMXPD,3133,22125,Darrell Baldwin,145.19895331609993,-37.83550615948766
WT3124HDVOU,3124,22094,Thomas Merritt,145.08163136507585,-37.82770547789762
WT3138GCDHE,3138,5491,Mark Montgomery,145.32553060424883,-37.781521967351715
WT3138DJNRN,3138,5491,Lawrence Gries,145.30073129866167,-37.78882923312574
WT3138NYAZI,3138,5491,Michael Jurczyk,145.3498041169002,-37.79662586519823
WT3138RHEWT,3138,5491,Thomas Ferguson,145.306922187079,-37.78348718565499
WT3171PHQVZ,3171,7238,Cedric Harrington,145.16498083635668,-37.95579674740436
WT3171BGAEJ,3171,7238,Lila Levy,145.1337946019459,-37.92898751855743
WT3171MJICH,3171,7238,Juan Hinchee,145.18043282568064,-37.95879127651984
WT3011IQUNX,3011,7154,John Brown,144.89846041943312,-37.791085279625314
WT3011UJIUE,3011,7154,Dixie Howell,144.89553897499536,-37.81371642915031
WT3011EAEZY,3011,7154,Kenneth Carroll,144.877915863424,-37.80663443631112
WT3340BDCGH,3340,21121,Paul Allison,144.40532457643525,-37.81327394581011
WT3047DGPRJ,3047,10451,Tomas Mcguffee,144.92699546794756,-37.68255313490852
WT3047ORCUE,3047,10451,Steven Amundson,144.90328678358944,-37.69247885083065
WT3108XXEQC,3108,20826,Ashley Mangone,145.11485742234592,-37.79528171594063
WT3201RUASD,3201,20711,Rose Williams,145.1534209754744,-38.10295740608137
WT3153RLWDL,3153,5138,Mark Trice,145.2430628711565,-37.829803014239666
WT3153NIFFF,3153,5138,Aaron Keeton,145.25168369388882,-37.83918200033715
WT3153IUEOJ,3153,5138,Kenneth Shumaker,145.24728494005137,-37.84696139522771
WT3153OMRBP,3153,5138,Lawrence Flores,145.26700117934192,-37.82422556609685
WT3074OTBSU,3074,5130,Belle Oldham,145.03257710917762,-37.689203183058844
WT3074WLDVX,3074,5130,James Dorris,145.0429477159794,-37.68859624847942
WT3074JGVWJ,3074,5130,James Boyer,145.03672983553665,-37.6957613835056
WT3074UPNMK,3074,5130,Kevin Rutherford,144.97495776808915,-37.688909196052016
WT3104SCUNI,3104,5101,Richard Wilson,145.08704046031517,-37.79068586533052
WT3104DAHNS,3104,5101,Daniel Hong,145.09809218475283,-37.786702025455035
WT3104RFPOC,3104,5101,Mary Rodriguez,145.07950352110365,-37.7878012366993
WT3104ONWBC,3104,5101,Juan Marrero,145.10568967543693,-37.793256776307054
WT3825QDDSO,3825,10140,Juan Power,146.3474677656966,-37.84853345588591
WT3825SLOEM,3825,10140,Vincent Booker,146.3977111844961,-37.598364025390914
WT3181CQDJD,3181,10130,Scott Devlin,144.9973447457726,-37.84556221051096
WT3181QMTHT,3181,10130,Amanda Hayes,144.99097016623716,-37.85274814551645
WT3168VWWBG,3168,10098,Lena Nevarez,145.12812102003488,-37.91133584926299
WT3168SIOCG,3168,10098,John Doyle,145.1486815513588,-37.91239574534277
WT3135TXDWV,3135,9978,Christina Gray,145.24838863239054,-37.81113511494498
WT3135MDMMN,3135,9978,Timothy Elder,145.2439049562688,-37.81805597385732
WT3128RYVPJ,3128,6609,Edward Meeks,145.11265890537797,-37.83439480685845
WT3128AQDRS,3128,6609,Sarah Kauffman,145.1295813912443,-37.82078823368618
WT3128BXKMY,3128,6609,Nannie Howard,145.1205335888432,-37.84176430869057
WT3219ERXHI,3219,4928,Robert Crites,144.40527369300378,-38.20792899559305
WT3219MZCMM,3219,4928,Charlie Gerber,144.37942394090373,-38.19362930153523
WT3219WYYSW,3219,4928,Cole Castillo,144.3946040268451,-38.170801213145026
WT3219MBCXZ,3219,4928,William Carmley,144.40642142260077,-38.19293662482532
WT3555MGTKL,3555,3281,Thomas Goodermote,144.23839337773072,-36.777089379729375
WT3555IQZWF,3555,3281,Sandra Owens,144.20885234050343,-36.83529464107439
WT3555TUBHB,3555,3281,Stella Wooldridge,144.24290208681947,-36.851299479751106
WT3555TUPHO,3555,3281,Kathy Burleson,144.21497408060986,-36.79436925436562
WT3555COGPQ,3555,3281,Brian Haynes,144.2066992252292,-36.826364551614084
WT3555EIYEY,3555,3281,Mark Vaden,144.26284450476723,-36.80793454462067
WT3193WAACK,3193,3251,Jose Ledesma,145.01476894747725,-37.97198343430003
WT3193BXUZV,3193,3251,Paul Judson,145.048709489026,-37.969888821153035
WT3193PUOIW,3193,3251,John Stoltenberg,145.0326368142497,-37.96688756716572
WT3193GLLFK,3193,3251,Catherine Jones,145.04189978128645,-37.98374958296799
WT3193MXQJH,3193,3251,Bret Obrien,145.036502806467,-37.97434285400492
WT3193BFDLZ,3193,3251,Maricela Jones,145.0276458010249,-37.9757161499488
WT3170FWYAE,3170,9684,Phyllis Prince,145.1720802821059,-37.9224765796093
WT3170XJVWP,3170,9684,Lucy Lahay,145.17553159514887,-37.936150181976984
WT3006GWSXT,3006,18808,Anthony Haynes,144.95907536829768,-37.82902551317974
WT3068YCBLO,3068,18662,Pinkie Perez,144.99596168622807,-37.782887691087915
WT3031DMFGC,3031,6177,Caroline Luckenbach,144.90707048527796,-37.78767901585732
WT3031UFTFA,3031,6177,Christina Sanders,144.90480162904436,-37.79999367740217
WT3031MEYAX,3031,6177,Kyle Johnson,144.90485123451955,-37.77890985650553
WT3127KDCFK,3127,9222,Robert Garrison,145.11468989151496,-37.81742754036754
WT3127FDBCA,3127,9222,Anthony Dawson,145.11410063194427,-37.83558955971916
WT3677BNBDA,3677,6034,Gerald Worstell,146.33635542694262,-36.33507499644104
WT3677EEGBM,3677,6034,Wesley Bond,146.29670074406582,-36.344999473632335
WT3677TIDLO,3677,6034,Derrick Payne,146.27382202574398,-36.38615593280632
WT3048LSNRB,3048,18029,Melissa Woodson,144.94202715958488,-37.661103475045735
WT3228HJCOK,3228,2562,Paul Mcdonald,144.30259871797708,-38.294963469146026
WT3228ACWJQ,3228,2562,Tonia Olson,144.31370275023198,-38.336499877690414
WT3228PSYGN,3228,2562,Raul Jackson,144.19259656608287,-38.3239170790345
WT3228MNYNJ,3228,2562,Lewis Shephard,144.3218961044523,-38.37079058190962
WT3228QIIVY,3228,2562,Carl Whitley,144.3580998680485,-38.35158525171141
WT3228NIQQU,3228,2562,Thomas Sood,144.22485445516622,-38.384604292155636
WT3228VYIQE,3228,2562,Helen Perez,144.21350061075302,-38.388428144451055
WT3930SMQKC,3930,4472,Rodney Griffith,145.08367715059237,-38.20218376519485
WT3930YXHXA,3930,4472,Brittany Chen,145.0705302976687,-38.223967510272765
WT3930LRSVX,3930,4472,Larry Kampman,145.06202825276205,-38.209569174577844
WT3930EYEUK,3930,4472,Kim Rowell,145.11232729441548,-38.20586619599625
WT3043FYBGJ,3043,17716,Kay Mitchell,144.9106703534703,-37.68347447460456
WT3015PKLER,3015,8736,Bill Kilbane,144.8979183219914,-37.82580808335247
WT3015IKLNZ,3015,8736,Nancy Martinez,144.90084568923905,-37.82284440696553
WT3162WLIAO,3162,17448,Carol Smith,145.03794970392784,-37.893085476293294
WT3129LJJMB,3129,17376,Michael Pilkington,145.10377490433146,-37.799158614303224
WT3106WCDTM,3106,2374,Maria Guinn,145.12920376131098,-37.76777178042597
WT3106WQFPR,3106,2374,Mary Bass,145.14274097499288,-37.731835101044354
WT3106RKPDZ,3106,2374,Alexis Turner,145.1225375091099,-37.76566799999866
WT3106WEMMG,3106,2374,Mary Brassfield,145.13831336893193,-37.76671007476117
WT3106RGMJJ,3106,2374,Barbara Hippler,145.1378806908983,-37.74956882168008
WT3106WWQAH,3106,2374,Melissa Wiggins,145.1447092521517,-37.741227564427945
WT3106HTUYW,3106,2374,David Bryan,145.14493956217032,-37.74550312585378
WT3140WMMWJ,3140,5510,Johnny Henderson,145.38704623013305,-37.73201219523685
WT3140RDCJV,3140,5510,Amanda Stoeckel,145.4033084494358,-37.740104501522254
WT3140IVMEB,3140,5510,Michele Erben,145.39434206753734,-37.72407305001604
WT3840LNPIC,3840,5492,Maria Payne,146.34455903747144,-38.2733364542847
WT3840TZEPL,3840,5492,Charles Finley,146.47175922778905,-38.36891972907457
WT3840HGKLT,3840,5492,Kathleen Mcnutt,146.406943793533,-38.171958603481386
WT3198HLLOO,3198,8231,Gretta Webb,145.14560608337254,-38.123088174882035
WT3198JMWVV,3198,8231,Kyle Flores,145.1430483156538,-38.10348377700504
WT3220GKZKP,3220,8176,Belen Ward,144.36016585654838,-38.14830817820786
WT3220ZIKZX,3220,8176,Michael Smith,144.3647743147495,-38.14164316617978
WT3356PYGHP,3356,16321,Patricia Randolph,143.84517878726803,-37.587543755661756
WT3187GYVQY,3187,2285,Diana Anderson,145.00670556653714,-37.92915321568199
WT3187STKWW,3187,2285,Rosalyn Gagne,145.01486064392816,-37.93029567721181
WT3187VKZRS,3187,2285,Rhonda Houston,145.01239264065856,-37.91589285151207
WT3187APRIK,3187,2285,Michael Rumph,145.01626056360175,-37.907326097781784
WT3187VBBYP,3187,2285,Benita Seip,145.01730963025474,-37.93128775701515
WT3187KANGU,3187,2285,Ivan Bragg,145.00315026723965,-37.92714051573115
WT3187ISKAN,3187,2285,Rosemarie White,145.01673605674694,-37.913804417644954
WT3352KHBBN,3352,15996,Richard Askew,143.60419898610786,-37.722432808576656
WT3079LUHNU,3079,5329,Michael Hackett,145.04616665018042,-37.75945575126896
WT3079YIXPG,3079,5329,Julia Mendez,145.0244537797928,-37.76320634770149
WT3079QORWG,3079,5329,Jerry Somogyi,145.05361972090736,-37.76092644646485
WT3820XLQYV,3820,3988,Ilene Lotthammer,145.89876454720408,-38.21940634596765
WT3820PEKRB,3820,3988,Jennifer Sutton,145.98391239659566,-38.18069736504627
WT3820MWDUD,3820,3988,Robert Hsu,145.88373482657425,-38.110247079460194
WT3820DRLAO,3820,3988,Margarito Deane,145.9118289402152,-38.19483079087872
WT3564XBKCM,3564,7972,Josephine Gilman,144.94175016410327,-36.12649018753725
WT3564ZZDZJ,3564,7972,Herschel Boyles,144.83785837021406,-36.052980754665796
